SentId	Sentences	Class
148619	and rate control with atrioventricular (AV) nodal blockers.	0
148618	"For patients with atrial fibrillation (AF), there are two main strategies to manage the irregular rhythm and its impact on symptoms: rhythm control (restoration followed by maintenance of sinus rhythm with either antiarrhythmic drugs or radiofrequency catheter ablation);"	1
148620	"For those patients in whom a rhythm control strategy is chosen, the main goal of therapy is to reduce symptoms by decreasing the frequency and duration of episodes as well as the symptoms during recurrences."	1
148621	"As antiarrhythmic drugs are associated with a potential for serious adverse side effects, particularly the induction of proarrhythmia, they should be prescribed only by practitioners familiar with their use."	0
148622	Patients should be fully informed of both the benefits and risks associated with the use of these drugs.	0
148623	Rhythm control can be achieved with either antiarrhythmic drug therapy or nonpharmacologic methods.	0
148624	This topic provides recommendations for the former.	0
148625	The clinical trials describing the efficacy and toxicity (including proarrhythmia) of the different antiarrhythmic drugs are presented separately.	0
148626	Nonpharmacologic methods to maintain sinus rhythm (including surgery and radiofrequency ablation) in selected patients who are refractory to conventional therapy are discussed elsewhere.	1
148627	"There are three settings in which a rhythm control strategy for the maintenance of sinus rhythm should be considered: Persistent symptoms (palpitations, dyspnea, lightheadedness, angina, syncope, and heart failure) despite adequate rate control."	0
148628	An inability to attain adequate rate control (to prevent tachycardia-mediated cardiomyopathy).	0
148629	Patient preference.	0
148630	Some patients will strongly prefer to avoid either paroxysmal or persistent AF.	0
148631	"We consider cardioversion to sinus rhythm in most patients, particularly younger patients, with a first-detected episode of AF in whom the arrhythmia is of recent onset and the risk for recurrence appears to be low."	1
148632	Maintenance antiarrhythmic drug therapy is not routinely used after cardioversion in patients with newly detected AF.	1
148633	These issues are discussed in detail separately.	0
148634	"Prior to selecting and initiating antiarrhythmic drug therapy, the following issues should be considered."	0
148635	"The choice between a rhythm- or a rate-control strategy is determined by many factors, including patient age, the degree to which symptoms interfere with the quality of life, and concerns about antiarrhythmic drug therapy or radiofrequency catheter ablation."	0
148636	"There is no evidence that long-term outcomes, such as rates of survival or thromboembolism, are improved by rhythm control."	0
148637	Our recommendations for the use of these two strategies are found elsewhere.	0
148638	"Before initiating a rhythm control strategy, any risk factors for AF should be addressed."	0
148639	"Examples include hyperthyroidism, hypertension, heart failure, and excess alcohol intake."	0
148640	"Maintenance antiarrhythmic drug therapy is not recommended after cardioversion in a patient with a transient or reversible cause (such as cardiac surgery, pericarditis, or pulmonary embolism)."	1
148641	"An option in such patients is beta blocker therapy after restoration of sinus rhythm, which may provide modest protection against recurrent AF."	0
148642	"However, short-term antiarrhythmic therapy can be considered in this situation as the underlying cause is treated in patients who are highly symptomatic."	1
148643	Chronic anticoagulation is required with either rhythm or rate control in most patients.	0
148644	An exception to this need for maintenance anticoagulation occurs in patients without structural heart disease who are at low risk for embolization;	1
148645	such patients can be treated with no long-term antithrombotic therapy.	0
148646	"However, anticoagulation is required for at least three weeks prior to, during, and for at least four weeks after cardioversion in patients with AF duration of longer than 48 hours."	1
148647	"After four weeks of anticoagulation, individuals who do not require long-term anticoagulation can discontinue the medication."	1
148648	"An atrioventricular (AV) nodal blocker is usually started before, or simultaneously with, antiarrhythmic drug therapy in patients who have demonstrated a moderate to rapid ventricular rate (>=110 beats per minute) during AF."	1
148649	Slowing of the rate generally improves symptoms prior to the restoration of sinus rhythm.	0
148650	This therapy is continued while the patient is in sinus rhythm to protect against a rapid ventricular rate (greater than 110 bpm) should AF recur.	0
148651	"A beta blocker, or rate-slowing calcium channel blocker such as verapamil or diltiazem, is often used if there are no contraindications, since the withdrawal of vagal tone and increase in sympathetic tone with exercise often render digoxin relatively ineffective for controlling the heart rate."	0
148652	"Beta blockers may be preferred, since they also modestly protect against recurrence of AF."	0
148653	"Although verapamil may protect against AF-induced electrical remodeling, it has not been shown to prevent recurrence of AF during long-term follow-up."	0
148654	"On the other hand, digoxin is often used in patients with AF associated with systolic heart failure because of its beneficial effect on symptom control."	1
148655	Such patients are also typically treated with a beta blocker because of the associated improvement in survival.	0
148656	The negative inotropic activity of calcium channel blockers makes them less desirable in such patients.	0
148657	"In addition, AV nodal blockade is useful to prevent a 1:1 response should atrial flutter occur after cardioversion or when class IA or IC drugs are used."	0
148658	"Class I antiarrhythmic drugs, such as flecainide, may suppress most, but not all, reentrant circuits."	0
148659	"Although the atrial myocardium may not be capable of sustaining AF in this setting, it may be able to generate and sustain atrial flutter."	0
148660	"In addition, the profound sodium channel blocking effects of the class IC drugs can markedly slow atrial conduction, making atrial flutter with 1:1 conduction a significant risk."	0
148661	The possible role of angiotensin inhibition to prevent recurrent AF is discussed elsewhere.	0
148662	Many patients with AF in whom a rhythm control strategy is chosen will need sinus rhythm restored prior to the initiation of long-term antiarrhythmic drug therapy.	1
148663	The restoration of sinus rhythm is discussed in detail elsewhere.	0
148664	Some patients with relatively infrequent episodes of paroxysmal atrial fibrillation can be managed with antiarrhythmic therapy given only at the time of the episode.	1
148665	"This form of outpatient ""pill-in-the-pocket"" therapy for recurrent AF is discussed separately."	0
148666	"Once the issues discussed above have been addressed, an antiarrhythmic agent can be chosen."	0
148667	The choice of drug is significantly influenced both by drug and patient characteristics.	0
148668	"As with all therapeutic interventions, the choice of agent should take into account the benefit to risk ratio of the therapy chosen."	0
148669	"Amiodarone, dofetilide, flecainide, propafenone, sotalol, and less commonly dronedarone are the drugs we recommend to maintain sinus rhythm."	0
148670	"For additional information regarding the therapeutic use of these drugs, including information regarding dosing and side effects, the reader is referred to individual UpToDate topics on these drugs or to the individual drug monographs in our drug database."	0
148671	"The following points regarding antiarrhythmic drugs should be kept in mind in choosing therapy: Compared to other agents, amiodarone is associated with the greatest likelihood of maintaining sinus rhythm, but also with the highest risk of long-term complications."	0
148672	"Quinidine, procainamide, and disopyramide are no longer recommended for patients with AF, except perhaps in patients with vagally mediated AF, as there are more effective drugs and due to extracardiac side effects as well as the concern about proarrhythmia."	1
148673	"Beta blockers are modestly effective in maintaining sinus rhythm and can be tried first in selected patients, such as those without structural heart disease who are concerned about proarrhythmia."	1
148674	Of course beta blockers may have already been initiated to slow the ventricular rate in AF.	0
148675	"The following patient characteristics may influence decision making: The clinical features of the patient, such as presence or absence of clinical heart disease )."	1
148676	"We believe it is prudent to obtain a two-dimensional echocardiogram to screen for structural heart disease (eg, left ventricular systolic dysfunction, left ventricular hypertrophy, or valvular heart disease)."	0
148677	An exercise or nuclear stress imaging test may be used to screen for coronary heart disease and is typically done before starting a class IC agent.	0
148678	The presence of paroxysmal compared to persistent AF.	0
